symbol,bar_start_utc,bar_end_utc,open,high,low,close,volume,bar_vwap
ONEQ,2026-07-01T13:30:00+00:00,2026-07-01T13:35:00+00:00,102.63,102.74,102.26,102.4848,12992,102.4949
ONEQ,2026-07-01T13:35:00+00:00,2026-07-01T13:40:00+00:00,102.55,102.55,102.22,102.36,9391,102.3767
ONEQ,2026-07-01T13:40:00+00:00,2026-07-01T13:45:00+00:00,102.375,102.59,102.27,102.53,9677,102.4633
ONEQ,2026-07-01T13:45:00+00:00,2026-07-01T13:50:00+00:00,102.26,102.84,102.26,102.43,35143,102.51
ONEQ,2026-07-01T13:50:00+00:00,2026-07-01T13:55:00+00:00,102.4834,102.5,102.475,102.5,1475,102.4917
ONEQ,2026-07-01T13:55:00+00:00,2026-07-01T14:00:00+00:00,102.5241,102.58,102.37,102.58,1732,102.51
ONEQ,2026-07-01T14:00:00+00:00,2026-07-01T14:05:00+00:00,102.61,102.74,102.61,102.71,2234,102.6867
ONEQ,2026-07-01T14:05:00+00:00,2026-07-01T14:10:00+00:00,102.805,102.9,102.64,102.9,1324,102.8133
ONEQ,2026-07-01T14:10:00+00:00,2026-07-01T14:15:00+00:00,102.92,102.99,102.76,102.76,6492,102.8367
ONEQ,2026-07-01T14:15:00+00:00,2026-07-01T14:20:00+00:00,102.845,102.895,102.8434,102.8824,3745,102.8736
ONEQ,2026-07-01T14:20:00+00:00,2026-07-01T14:25:00+00:00,102.885,102.885,102.885,102.885,1577,102.885
ONEQ,2026-07-01T14:25:00+00:00,2026-07-01T14:30:00+00:00,102.905,102.905,102.82,102.82,2771,102.8483
ONEQ,2026-07-01T14:30:00+00:00,2026-07-01T14:35:00+00:00,102.905,102.905,102.69,102.69,15377,102.7617
ONEQ,2026-07-01T14:35:00+00:00,2026-07-01T14:40:00+00:00,102.725,102.85,102.725,102.85,646,102.8083
ONEQ,2026-07-01T14:40:00+00:00,2026-07-01T14:45:00+00:00,102.86,102.87,102.765,102.82,6846,102.8183
ONEQ,2026-07-01T14:45:00+00:00,2026-07-01T14:50:00+00:00,102.76,102.76,102.584,102.74,2225,102.6947
ONEQ,2026-07-01T14:50:00+00:00,2026-07-01T14:55:00+00:00,102.75,102.99,102.75,102.99,3359,102.91
ONEQ,2026-07-01T14:55:00+00:00,2026-07-01T15:00:00+00:00,102.725,102.74,102.5,102.74,1903,102.66
ONEQ,2026-07-01T15:00:00+00:00,2026-07-01T15:05:00+00:00,102.79,103.065,102.79,103.03,7610,102.9617
ONEQ,2026-07-01T15:05:00+00:00,2026-07-01T15:10:00+00:00,103.03,103.03,102.88,102.91,2522,102.94
ONEQ,2026-07-01T15:10:00+00:00,2026-07-01T15:15:00+00:00,102.86,102.95,102.8301,102.8401,2393,102.8734
ONEQ,2026-07-01T15:15:00+00:00,2026-07-01T15:20:00+00:00,103.1,103.149,103.1,103.14,4202,103.1297
ONEQ,2026-07-01T15:20:00+00:00,2026-07-01T15:25:00+00:00,103.14,103.3,103.14,103.26,10567,103.2333
ONEQ,2026-07-01T15:25:00+00:00,2026-07-01T15:30:00+00:00,103.215,103.32,103.215,103.31,2643,103.2817
ONEQ,2026-07-01T15:30:00+00:00,2026-07-01T15:35:00+00:00,103.33,103.33,103.15,103.23,3640,103.2367
ONEQ,2026-07-01T15:35:00+00:00,2026-07-01T15:40:00+00:00,103.03,103.12,103.03,103.12,1431,103.09
ONEQ,2026-07-01T15:40:00+00:00,2026-07-01T15:45:00+00:00,103.14,103.14,103.14,103.14,212,103.14
ONEQ,2026-07-01T15:45:00+00:00,2026-07-01T15:50:00+00:00,102.881,103.035,102.881,103.035,2527,102.9837
ONEQ,2026-07-01T15:50:00+00:00,2026-07-01T15:55:00+00:00,103.025,103.025,103.025,103.025,383,103.025
ONEQ,2026-07-01T15:55:00+00:00,2026-07-01T16:00:00+00:00,102.985,102.985,102.94,102.965,2580,102.9633
ONEQ,2026-07-01T16:00:00+00:00,2026-07-01T16:05:00+00:00,102.945,103.06,102.945,103.06,1202,103.0217
ONEQ,2026-07-01T16:05:00+00:00,2026-07-01T16:10:00+00:00,103.05,103.05,103.05,103.05,1134,103.05
ONEQ,2026-07-01T16:10:00+00:00,2026-07-01T16:15:00+00:00,102.99,102.99,102.95,102.95,2638,102.9633
ONEQ,2026-07-01T16:15:00+00:00,2026-07-01T16:20:00+00:00,102.9438,102.97,102.915,102.96,1975,102.9483
ONEQ,2026-07-01T16:25:00+00:00,2026-07-01T16:30:00+00:00,102.99,103.0,102.99,102.99,1719,102.9933
ONEQ,2026-07-01T16:30:00+00:00,2026-07-01T16:35:00+00:00,102.925,102.925,102.925,102.925,1817,102.925
ONEQ,2026-07-01T16:35:00+00:00,2026-07-01T16:40:00+00:00,102.99,102.99,102.96,102.96,830,102.97
ONEQ,2026-07-01T16:40:00+00:00,2026-07-01T16:45:00+00:00,102.96,102.96,102.77,102.77,1803,102.8333
ONEQ,2026-07-01T16:45:00+00:00,2026-07-01T16:50:00+00:00,102.895,102.96,102.885,102.95,2035,102.9317
ONEQ,2026-07-01T16:50:00+00:00,2026-07-01T16:55:00+00:00,102.95,102.95,102.865,102.865,683,102.8933
ONEQ,2026-07-01T16:55:00+00:00,2026-07-01T17:00:00+00:00,102.8896,102.9699,102.8896,102.9699,622,102.9431
ONEQ,2026-07-01T17:00:00+00:00,2026-07-01T17:05:00+00:00,102.85,102.85,102.85,102.85,651,102.85
